mention_id,article_id,date,year,page,title,mention_idx_in_article,window,mantra_binding,institutional_embedding,inst_narrow,inst_broader,inst_constitutional,personal_command,cmd_listen,cmd_responsible,cmd_at_ease
M00019,2018-01-17_p03_用好军队党内监督“利器” 充分发挥巡视“利剑”作用,2018-01-17,2018,03,用好军队党内监督“利器” 充分发挥巡视“利剑”作用,1,"巡视工作领导体制和机构设置，调整了巡视范围和内容，改进了巡视方式方法，完善了巡视工作程序，细化了巡视工作纪律与责任。
修订中注重把握以下几点：一是坚持根本遵循。深入贯彻党中央、中央军委和习主席重要决策指示，认真贯彻中央巡视工作精神，充分体现《中国共产党章程》《党内监督条例》等党内法规要求，确保修订的正确方向。二是坚持军队实际。立足规范和指导新时代军队巡视工作，全面贯彻习近平强军思想，坚决维护和贯彻军委主席负责制，着力推进政治建军、改革强军、科技兴军、依法治军，强化备战打仗的鲜明导向。三是坚持创新发展。充分吸纳军委巡视工作积累的有益经验，着眼军兵种、武警部队党委巡视工作遇到的新情况新问题，研究提出新对策、作出新规定，推动军队巡视工作深入发展。四是坚持突出重点。对军队巡视工作重大理论和现实问题，特别是指导思想、领导体制、机构设置、成果运用，以及建立巡察制度、开展巡察工作等，反复研究论证、充分听取意见、广泛凝",0,1,1,0,0,0,0,0,0
M00020,2018-01-17_p03_用好军队党内监督“利器” 充分发挥巡视“利剑”作用,2018-01-17,2018,03,用好军队党内监督“利器” 充分发挥巡视“利剑”作用,2,贯彻体现了政治巡视要求：一是在指导思想上，坚持以“习近平新时代中国特色社会主义思想”为指导，全面贯彻“习近平强军思想”，着眼“实现党在新时代的强军目标、全面建成世界一流军队”，彰显了政治和全局高度，体现了军队巡视工作鲜明的政治方向；二是在目的任务上，强调“确保党中央、中央军委和习主席决策指示的贯彻执行，确保部队高度集中统一和有效履行使命任务”，表明巡视监督的根本职能是维护权威、维护核心、维护和贯彻军委主席负责制，确保政令军令畅通和部队有效履行使命任务，体现了军队巡视工作鲜明的政治定位；三是在巡视对象上，突出被巡视党委领导班子及其成员特别是主要领导这个“关键少数”，明确军队党内监督首先从高层党委班子和高级干部队伍抓起，坚持以上率下、严下先严上，体现了军队巡视工作鲜明的政治导向；四是在监督内容上，重点对巡视对象“遵守党章党规党纪，加强党的建设、发挥党委领导核心作用，履行管党治党主体责任和监督责任，执行中央八,0,0,0,0,0,0,0,0,0
M00021,2018-01-17_p03_用好军队党内监督“利器” 充分发挥巡视“利剑”作用,2018-01-17,2018,03,用好军队党内监督“利器” 充分发挥巡视“利剑”作用,3,"不正确履职尽责以及存在违反巡视工作纪律行为的，依照有关规定严肃追究责任。
问：请结合实际谈谈如何学习贯彻好《条例》。
答：中央军委印发新修订的《中央军委巡视工作条例》，是贯彻党的十九大精神的重要举措，是落实全面从严治党要求、加强军队党内监督的一件大事。学习贯彻《条例》，要做到“三个到位”：一是思想认识到位。各级要立足新的政治站位，充分认清修订印发《条例》，对于全面贯彻习近平强军思想，坚决维护和贯彻军委主席负责制，确保党中央、中央军委和习主席决策指示的贯彻执行，确保部队高度集中统一和有效履行使命任务，具有重要意义，切实增强学习贯彻的使命感责任感。二是学习理解到位。各级要坚持把学习《条例》与深入学习贯彻党的十九大精神结合起来，与推进“两学一做”学习教育常态化制度化结合起来，与部队担负的使命任务和正风反腐实际结合起来，准确理解把握《条例》的主要内容、基本精神和实践要求；党委要列入理论学习中心组学习，纪委和政治",0,0,0,0,0,0,0,0,0
M00022,2018-01-23_p06_聚指成拳听号令,2018-01-23,2018,06,聚指成拳听号令,0,"集体领导的原则，继续反对个人独裁和分散主义两种偏向”。党的十八大以来，习主席在多个场合强调，必须反对分散主义，维护党的集中统一，坚决防止和反对宗派主义、圈子文化、码头文化，坚定不移全面从严治党。
反对分散主义、维护党和军队的集中统一，是纠治“和平病”的必然要求，也是确保我军永远听党指挥，做到“召之即来、来之能战、战之必胜”的必然选择。在反对分散主义问题上，在坚决维护党中央权威、维护核心、维护和贯彻军委主席负责制问题上，我们必须旗帜鲜明，真正把“三个维护”注入灵魂、融入血脉，自觉在站对站稳政治立场中看齐、在拥戴核心维护权威中看齐、在确保军令政令畅通中看齐。
“三军一心，则令可使无敌矣”。反对分散主义，必须体现在行动上，落实于工作中。习主席对军事训练高度重视，念兹在兹的是练兵备战，在中央军委2018年开训动员大会上发布训令，要求“全军各级要强化练兵备战鲜明导向，坚定不移把军事训练摆在战略位置、作为中心工作，",0,0,0,0,0,0,0,0,0
M00023,2018-01-26_p04_全军按习主席训令掀起实战实训热潮,2018-01-26,2018,04,全军按习主席训令掀起实战实训热潮,0,"人民军队在加强党风廉政建设和反腐败斗争方面有哪些重要部署和具体举措的提问时，吴谦表示，根据中央军委纪委扩大会议的部署，2018年人民军队党风廉政建设和反腐败斗争将全面贯彻落实党的十九大精神，以习近平新时代中国特色社会主义思想为指导，深入贯彻习近平强军思想，增强“四个意识”，坚定“四个自信”，落实新时代党的建设总要求，以党的政治建设为统领，纵深推进全面从严治党，坚定自觉维护权威、维护核心、维护和贯彻军委主席负责制，坚定有力聚焦军队职能，服务备战打仗，坚定不移严厉惩贪肃腐，严抓作风风气、严格监督问责，以新气象新作为开创军队正风反腐新局面，为实现党在新时代的强军目标、全面建成世界一流军队提供政治保证和纪律支持。
吴谦介绍了人民军队将重点做好的8个方面工作：一是坚持把“三个维护”作为首责首要，以严格纪律确保部队对党绝对忠诚、听从习主席指挥。二是聚焦能打仗、打胜仗强化监督监察，切实提高对打赢能力的贡献率。三是紧盯",0,0,0,0,0,0,0,0,0
M00024,2018-01-26_p07_领导核心至关重要,2018-01-26,2018,07,领导核心至关重要,0,"续远航，就必须充分发挥党的领袖的权威在社会发展中引领方向、统筹全局、凝聚力量的重要作用。正如1921年8月列宁在《给德国共产党员的一封信》中指出的那样：“造就一批有经验、有极高威望的党的领袖是一件长期的艰难的事情。但是做不到这一点，无产阶级专政、无产阶级的‘意志统一’就只能是一句空话。”当前，全军官兵必须牢固确立习近平新时代中国特色社会主义思想的根本指导地位，在维护党中央权威、维护核心、维护和贯彻军委主席负责制上做到旗帜更加鲜明、行动更加坚决。这是最高政治任务、最高政治要求，更是最高政治纪律。
（作者单位：国防大学国家安全学院）",0,0,0,0,0,0,0,0,0
M00025,2018-01-31_p07_领导干部要提高战略思维能力,2018-01-31,2018,07,领导干部要提高战略思维能力,0,"所惑，不为暗流所动，始终保持正确的政治方向。领导干部在任何时候任何情况下都必须坚定马克思主义的政治立场，保持战略思维的正确性、科学性。深入学习党的创新理论最新成果，坚持不懈用习近平新时代中国特色社会主义思想和党的十九大精神武装头脑，全面贯彻习近平强军思想，增强政治认同、思想认同、理论认同和情感认同，以此提高驾驭全局的能力。铸就对党忠诚的政治品格，强化“四个意识”，坚决维护权威、维护核心、维护和贯彻军委主席负责制，保证在大是大非问题上立场坚定、旗帜鲜明。
树立善审天下之势的全局观念。新形势下领导干部提高战略思维能力，必须善于从时代和全局的高度科学分析和判断形势，正确把握事物发展总体趋势和方向。要着眼全面建成世界一流军队，密切关注国际形势特别是周边安全形势，密切关注国内形势变化及其对部队建设的影响，密切关注军队建设的重大战略部署等，自觉做到认识大局、服从大局、维护大局。要全面深入研究本部队本部门本系统建设的",0,0,0,0,0,0,0,0,0
M00026,2018-02-02_p07_做“三个维护”的忠诚践行者,2018-02-02,2018,07,做“三个维护”的忠诚践行者,0,"坚定不移维护权威、维护核心、维护和贯彻军委主席负责制，是党对全军官兵的政治要求，更是军队领导干部的政治责任。我们要用“三个维护”熔铸政治信仰、明确政治责任、砥砺人生信条。
把“三个维护”作为政治信仰熔铸。做到“三个维护”，是建立在对党的创新理论真学深悟基础上的。比如，我们坚信习近平新时代中国特色社会主义思想是马克思主义中国化的最新成果，是因为我们认识到，这一思想提出的“五位一体”总体布局和“四个全面”战略布局等，就是马克思主义发展观在中国的生动实践",0,0,0,0,0,0,0,0,0
M00027,2018-02-09_p07_深刻理解全面建成世界一流军队的要求,2018-02-09,2018,07,深刻理解全面建成世界一流军队的要求,0,"地抓备战谋打赢，加快构建中国特色现代作战体系，大力提高军事训练实战化水平，锻造召之即来、来之能战、战之必胜的精兵劲旅。
为全面建成世界一流军队而奋斗
强化维护核心、举旗铸魂的政治自觉。要坚持不懈用习近平新时代中国特色社会主义思想教育部队、武装官兵，强化“四个意识”、增强“四个自信”，打牢忠诚核心、拥戴核心、维护核心的思想根基；毫不动摇坚持党对人民军队绝对领导的一系列根本原则和制度，把坚决维护和贯彻军委主席负责制突出出来，贯穿到实现党在新时代的强军目标、建设世界一流军队各领域全过程；紧而又紧强化政治执行力，不折不扣地执行党中央、中央军委和习主席的决策部署。
强化聚焦主业、负起主责的时代担当。切实树立新时代革命军人应有的样子，站在军事前沿、技术前沿，不断突破自我、超越自我，以大国军队、时代军人应有的眼界、气度、标准抓建设、干工作、谋发展；担起新时代备战打仗的担子，坚持军事斗争准备龙头地位不动摇，始终把工作重",0,1,0,1,0,0,0,0,0
M00028,2018-02-12_p01_全面推进新时代强军事业的科学指南,2018-02-12,2018,01,全面推进新时代强军事业的科学指南,0,"心、听党指挥，最内在最根本的是自觉向党中央看齐，向习主席看齐，向党的基本理论、基本路线、基本方略看齐。习近平强军思想，作为习近平新时代中国特色社会主义思想的“军事篇”，集中体现了党的意志主张，反映了党和人民对我军的时代要求，指明了军队建设坚定正确的政治方向；从新时代坚持和发展中国特色社会主义基本方略的高度，突出强调坚持党对人民军队的绝对领导，要求我军坚决维护党中央权威和集中统一领导，坚决维护和贯彻军委主席负责制，揭示了人民军队从胜利走向胜利的根本力量所在；始终坚持从政治上建设和把握军队，以党的政治建设为统领全面加强军队党的建设，确立了新时代政治建军的大方略，为我们提升政治站位、增强政治能力提供了根本遵循。新时代，军队以党的旗帜为旗帜、以党的方向为方向、以党的意志为意志，必须坚持用习近平强军思想统一思想、统一步调，坚定维护习主席在党中央和全党的核心地位，更加自觉地对党忠诚、听党指挥。
实现了马克思主义军事",0,1,1,1,0,1,1,0,0
